price_in_rs,os,display_in_inch,rating,no_of_ratings,no_of_reviews,laptop,processor_manufacturer,processor_generation,number_of_cores,ram_in_gb,storage_type,primary_storage_size
35990,windows 11 operating system,15.6,4.3,107.0,11.0,asus,intel,10,10,8,ssd,512.0
38290,64 bit windows 11 operating system,14.0,3.9,37.0,1.0,lenovo,intel,11,11,8,ssd,512.0
399990,windows 11 operating system,17.0,-1.0,-1.0,-1.0,msi,intel,13,13,32,ssd,2000.0
17990,chrome operating system,15.6,3.7,1671.0,226.0,asus,intel,1,1,4,ssd,2000.0
15990,chrome operating system,11.6,4.0,1853.0,287.0,asus,intel,1,1,4,ssd,2000.0
42990,64 bit windows 11 operating system,14.0,3.6,5.0,0.0,asus,intel,12,12,8,ssd,512.0
138990,windows 11 operating system,17.3,-1.0,-1.0,-1.0,msi,intel,13,13,16,ssd,1000.0
54990,64 bit windows 11 operating system,16.0,4.9,7.0,0.0,asus,amd,1,1,16,ssd,512.0
30990,64 bit windows 11 operating system,14.0,4.3,4379.0,580.0,infinix,intel,10,10,8,ssd,256.0
50990,64 bit windows 10 operating system,14.0,4.0,57.0,10.0,lenovo,amd,1,1,8,ssd,512.0
79990,64 bit windows 11 operating system,14.0,4.8,19.0,1.0,asus,intel,11,11,16,ssd,512.0
22900,64 bit windows 11 operating system,14.0,4.1,694.0,67.0,acer,amd,1,1,4,ssd,256.0
33751,64 bit windows 11 operating system,15.6,4.2,778.0,78.0,lenovo,amd,1,1,8,ssd,512.0
116250,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,lenovo,amd,1,1,16,ssd,512.0
50990,64 bit windows 11 operating system,15.6,4.5,23.0,5.0,asus,intel,12,12,8,ssd,512.0
45990,64 bit windows 11 operating system,15.6,4.2,564.0,55.0,asus,intel,10,10,8,ssd,512.0
90400,windows 11 operating system,17.3,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
91990,windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,512.0
62499,64 bit windows 11 operating system,14.0,4.3,142.0,11.0,hp,intel,12,12,8,ssd,512.0
76999,windows 11 operating system,15.6,4.5,97.0,10.0,asus,intel,12,12,8,ssd,512.0
51990,windows 11 operating system,15.6,4.3,146.0,14.0,asus,intel,11,11,8,ssd,512.0
32990,64 bit windows 11 operating system,15.6,4.0,947.0,100.0,hp,amd,1,1,8,ssd,512.0
45990,64 bit windows 11 operating system,15.6,4.5,624.0,90.0,asus,intel,11,11,8,ssd,512.0
88499,64 bit windows 11 operating system,16.1,5.0,3.0,1.0,hp,intel,11,11,16,ssd,1000.0
65990,64 bit windows 11 operating system,15.6,4.5,715.0,112.0,asus,amd,1,1,16,ssd,512.0
85990,64 bit windows 11 operating system,15.6,4.7,62.0,17.0,msi,intel,12,12,16,ssd,512.0
104990,windows 11 operating system,13.3,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,512.0
139990,mac os operating system,13.6,4.3,32.0,1.0,apple,apple,2,2,8,ssd,512.0
113490,mac os operating system,13.6,4.8,45.0,5.0,apple,apple,2,2,8,ssd,256.0
113990,mac os operating system,13.6,4.7,50.0,3.0,apple,apple,2,2,8,ssd,256.0
74990,64 bit windows 11 operating system,14.0,4.5,1266.0,172.0,asus,intel,12,12,16,ssd,512.0
89990,64 bit windows 11 operating system,15.6,4.5,174.0,22.0,asus,amd,1,1,16,ssd,512.0
41990,64 bit windows 11 operating system,14.0,4.2,3572.0,327.0,hp,intel,11,11,8,ssd,512.0
63990,64 bit windows 11 operating system,14.0,4.6,25.0,1.0,asus,intel,11,11,8,ssd,512.0
86990,windows 11 operating system,13.4,4.7,6.0,1.0,hp,intel,12,12,16,ssd,512.0
61990,64 bit windows 11 operating system,14.0,5.0,3.0,1.0,hp,amd,1,1,16,ssd,512.0
88990,64 bit windows 11 operating system,17.3,4.7,13.0,1.0,asus,amd,1,1,16,ssd,512.0
249990,windows 11 operating system,17.3,-1.0,-1.0,-1.0,msi,intel,13,13,32,ssd,1000.0
129990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
294990,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,msi,intel,12,12,32,ssd,2000.0
76990,64 bit windows 11 operating system,15.6,4.5,374.0,46.0,lenovo,amd,1,1,8,ssd,512.0
104990,mac os operating system,13.3,4.7,719.0,83.0,apple,apple,1,1,16,ssd,256.0
78990,64 bit windows 11 operating system,15.6,4.4,41.0,3.0,lenovo,intel,11,11,16,ssd,512.0
63990,64 bit windows 11 operating system,15.6,4.1,187.0,16.0,dell,intel,11,11,8,ssd,512.0
107990,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,intel,12,12,16,ssd,512.0
68990,64 bit windows 11 operating system,15.6,4.6,11.0,1.0,asus,intel,12,12,16,ssd,512.0
57990,64 bit windows 11 operating system,15.6,4.3,3065.0,354.0,acer,intel,12,12,8,ssd,512.0
95990,64 bit windows 11 operating system,15.6,4.5,136.0,16.0,asus,intel,12,12,16,ssd,1000.0
105990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,msi,intel,12,12,16,ssd,512.0
82990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,512.0
59990,64 bit windows 10 operating system,14.0,4.4,7200.0,967.0,realme,intel,11,11,8,ssd,512.0
61400,64 bit windows 11 operating system,14.0,4.2,1346.0,124.0,hp,intel,12,12,16,ssd,512.0
37990,64 bit windows 11 operating system,14.0,4.2,713.0,103.0,infinix,intel,10,10,8,ssd,512.0
77070,64 bit windows 11 operating system,14.0,4.4,27.0,3.0,hp,intel,12,12,16,ssd,512.0
56990,windows 11 operating system,14.0,4.3,18.0,1.0,asus,intel,12,12,8,ssd,512.0
56990,64 bit windows 11 operating system,15.6,4.4,5533.0,674.0,acer,amd,1,1,16,ssd,512.0
