price_in_rs,os,display_in_inch,rating,no_of_ratings,no_of_reviews,laptop,processor_manufacturer,processor_generation,number_of_cores,ram_in_gb,storage_type,primary_storage_size
114990,64 bit windows 10 operating system,15.6,4.5,153.0,25.0,msi,intel,11,11,16,ssd,1000.0
114990,64 bit windows 11 operating system,17.3,3.9,12.0,0.0,asus,intel,12,12,16,ssd,1000.0
59990,64 bit windows 11 operating system,16.0,4.7,7.0,2.0,dell,amd,1,1,8,ssd,512.0
63590,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,dell,amd,1,1,16,ssd,512.0
199999,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,hp,intel,12,12,32,ssd,1000.0
300490,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,dell,intel,12,12,32,ssd,1000.0
72990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,hp,amd,1,1,8,ssd,512.0
46040,64 bit windows 10 operating system,14.0,4.1,68.0,6.0,acer,intel,11,11,8,hdd ssd,1000.0
55990,windows 11 operating system,15.6,4.6,10.0,1.0,asus,amd,5,5,8,ssd,512.0
24999,64 bit windows 11 operating system,14.0,3.7,65.0,7.0,hp,intel,1,1,8,ssd,256.0
76990,64 bit windows 11 operating system,17.3,4.5,17.0,4.0,asus,amd,1,1,8,ssd,1000.0
71590,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,dell,amd,1,1,16,ssd,512.0
59999,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,amd,1,1,8,ssd,512.0
323990,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,dell,intel,11,11,32,ssd,1000.0
40390,64 bit windows 11 operating system,14.0,4.3,2025.0,257.0,hp,amd,1,1,8,ssd,512.0
61990,64 bit windows 11 operating system,15.6,4.5,99.0,13.0,hp,amd,1,1,8,ssd,512.0
68400,64 bit windows 11 operating system,15.6,4.0,5.0,1.0,lenovo,intel,12,12,16,ssd,512.0
88990,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,intel,12,12,8,ssd,512.0
159990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,lenovo,amd,1,1,16,ssd,1000.0
39490,64 bit windows 11 operating system,15.6,4.0,29.0,2.0,dell,amd,1,1,8,ssd,512.0
150990,mac os operating system,13.6,-1.0,-1.0,-1.0,apple,apple,2,2,16,ssd,512.0
241990,mac os operating system,16.2,4.8,119.0,14.0,apple,apple,1,1,16,ssd,1000.0
56749,windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,intel,12,12,8,ssd,256.0
247990,64 bit windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
181990,64 bit windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,1000.0
114990,windows 11 operating system,13.3,3.8,6.0,1.0,hp,intel,12,12,16,ssd,1000.0
146990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,amd,1,1,16,ssd,1000.0
149990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,gigabyte,intel,12,12,16,ssd,1000.0
52490,64 bit windows 11 operating system,15.6,4.1,23.0,4.0,dell,amd,1,1,8,ssd,512.0
244990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,msi,intel,12,12,16,ssd,1000.0
139990,windows 10 operating system,16.0,4.3,8.0,0.0,asus,intel,11,11,16,ssd,1000.0
59990,64 bit windows 10 operating system,15.6,4.4,263.0,22.0,msi,intel,11,11,8,ssd,512.0
84990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,acer,amd,1,1,8,ssd,1000.0
70900,64 bit windows 11 operating system,14.0,4.7,3.0,0.0,lenovo,intel,11,11,16,ssd,512.0
35699,64 bit windows 11 operating system,15.6,4.0,5.0,0.0,hp,intel,11,11,8,ssd,256.0
84990,64 bit windows 11 operating system,14.0,3.9,45.0,9.0,asus,intel,12,12,16,ssd,512.0
128000,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,1000.0
43500,64 bit windows 11 operating system,15.6,3.9,93.0,10.0,dell,intel,11,11,8,ssd,512.0
58226,windows 10 operating system,15.6,-1.0,-1.0,-1.0,lenovo,intel,11,11,16,ssd,512.0
103490,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,11,11,16,ssd,512.0
60990,64 bit windows 11 operating system,13.3,4.4,72.0,9.0,asus,intel,11,11,8,ssd,512.0
150450,64 bit windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,512.0
39990,64 bit windows 11 operating system,15.6,4.1,48.0,2.0,lenovo,intel,11,11,8,ssd,512.0
139999,64 bit windows 11 operating system,15.6,5.0,7.0,1.0,acer,intel,11,11,16,ssd,1000.0
156490,64 bit windows 11 operating system,15.6,5.0,4.0,0.0,acer,intel,12,12,16,ssd,1000.0
78990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,hp,amd,1,1,8,ssd,512.0
16490,64 bit windows 11 operating system,14.1,3.8,689.0,92.0,avita,intel,1,1,4,ssd,128.0
171990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
250000,64 bit windows 10 operating system,15.6,4.0,5.0,2.0,alienware,intel,10,10,16,ssd,1000.0
151990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,12,12,16,ssd,1000.0
57990,64 bit windows 11 operating system,15.6,3.7,10.0,0.0,dell,intel,11,11,8,ssd,512.0
71990,64 bit windows 10 operating system,14.96,-1.0,-1.0,-1.0,dell,amd,1,1,8,ssd,512.0
80990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,512.0
46990,64 bit windows 11 operating system,14.0,4.2,1232.0,119.0,asus,amd,1,1,16,ssd,512.0
73990,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,8,ssd,512.0
88990,64 bit windows 11 operating system,15.6,3.6,11.0,0.0,dell,amd,1,1,16,ssd,512.0
145499,64 bit windows 11 operating system,16.0,3.7,3.0,0.0,hp,intel,12,12,16,ssd,512.0
275990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,msi,intel,12,12,32,ssd,1000.0
39990,64 bit windows 10 operating system,15.6,4.4,44.0,1.0,asus,intel,11,11,8,ssd,512.0
58800,64 bit windows 10 operating system,13.3,4.3,6.0,3.0,hp,intel,7,7,8,ssd,256.0
101490,64 bit windows 10 operating system,15.6,4.5,499.0,63.0,asus,intel,11,11,16,ssd,1000.0
219894,mac os operating system,14.2,4.8,119.0,14.0,apple,apple,1,1,16,ssd,1000.0
69990,64 bit windows 11 operating system,15.6,4.7,3.0,0.0,hp,amd,1,1,8,ssd,512.0
41990,windows 10 operating system,15.6,3.6,25.0,4.0,dell,intel,11,11,8,hdd,1000.0
57990,64 bit windows 10 operating system,14.0,4.3,74.0,7.0,asus,amd,1,1,8,ssd,512.0
162990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
89990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,1000.0
72790,64 bit windows 10 operating system,15.6,4.6,213.0,36.0,dell,amd,1,1,8,ssd,512.0
60130,64 bit windows 10 operating system,15.6,4.1,85.0,5.0,acer,intel,11,11,8,hdd ssd,1000.0
74990,64 bit windows 10 operating system,15.6,4.6,893.0,173.0,msi,intel,9,9,16,ssd,512.0
157990,64 bit windows 11 operating system,15.6,4.0,4.0,0.0,asus,amd,1,1,16,ssd,1000.0
284990,64 bit windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,amd,1,1,32,ssd,1000.0
59490,windows 11 operating system,15.6,4.6,5.0,0.0,asus,intel,11,11,16,ssd,512.0
58490,windows 11 operating system,15.6,4.0,3.0,2.0,dell,intel,11,11,8,ssd,512.0
254990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
218290,windows 11 operating system,16.0,-1.0,-1.0,-1.0,lenovo,amd,1,1,16,ssd,1000.0
29990,64 bit windows 10 operating system,14.0,-1.0,-1.0,-1.0,avita,intel,10,10,4,ssd,256.0
98060,64 bit windows 11 operating system,13.3,-1.0,-1.0,-1.0,hp,amd,1,1,16,ssd,1000.0
87390,64 bit windows 10 operating system,15.6,4.3,273.0,41.0,asus,intel,10,10,8,hdd ssd,1000.0
171990,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,1000.0
214790,64 bit windows 10 operating system,15.6,4.1,13.0,4.0,alienware,intel,10,10,16,ssd,1000.0
199990,64 bit windows 10 operating system,15.6,4.9,12.0,0.0,alienware,intel,10,10,16,ssd,512.0
85490,windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,512.0
61990,64 bit chrome operating system,14.0,4.7,3.0,0.0,hp,intel,11,11,8,ssd,256.0
249900,mac os operating system,14.0,-1.0,-1.0,-1.0,apple,apple,2,2,16,ssd,1000.0
59990,64 bit windows 10 operating system,14.0,4.2,569.0,59.0,mi,intel,10,10,8,ssd,512.0
204000,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,amd,1,1,32,ssd,2000.0
61890,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,11,11,8,ssd,512.0
229990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,acer,intel,12,12,32,ssd,2000.0
399990,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,asus,intel,12,12,32,ssd,4000.0
74990,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,8,ssd,512.0
132765,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,1000.0
46990,64 bit windows 10 operating system,14.0,3.7,337.0,35.0,acer,intel,11,11,8,hdd,1000.0
174990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
42690,64 bit windows 11 operating system,14.96,4.4,171.0,18.0,dell,intel,11,11,8,ssd,256.0
59990,64 bit windows 10 operating system,15.6,4.4,2208.0,248.0,hp,amd,1,1,8,ssd,512.0
222990,mac os operating system,16.2,4.8,119.0,14.0,apple,apple,1,1,16,ssd,512.0
42990,windows 11 operating system,15.6,3.8,5.0,2.0,asus,intel,12,12,8,ssd,512.0
156090,64 bit windows 10 operating system,15.6,4.4,316.0,53.0,msi,intel,10,10,32,hdd ssd,1000.0
69890,64 bit windows 10 operating system,15.6,4.3,333.0,29.0,dell,intel,10,10,8,ssd,512.0
63990,64 bit windows 11 operating system,15.6,4.6,58.0,7.0,asus,amd,1,1,16,ssd,512.0
108990,64 bit windows 11 operating system,15.6,4.0,12.0,4.0,dell,intel,12,12,16,ssd,512.0
304980,64 bit windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,1000.0
84790,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,amd,1,1,16,ssd,512.0
58500,64 bit windows 10 operating system,15.6,4.4,2239.0,299.0,msi,amd,1,1,8,ssd,512.0
33200,64 bit windows 11 operating system,15.6,4.1,264.0,31.0,acer,amd,1,1,8,ssd,512.0
41890,64 bit windows 11 operating system,15.6,3.9,8.0,0.0,dell,amd,1,1,8,ssd,512.0
210990,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
176490,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,intel,12,12,16,ssd,512.0
35990,64 bit windows 11 operating system,14.0,4.2,66.0,8.0,lenovo,intel,10,10,4,ssd,256.0
130990,64 bit windows 11 operating system,13.5,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,512.0
71990,64 bit windows 11 operating system,15.6,4.6,110.0,22.0,dell,amd,1,1,8,ssd,512.0
105990,64 bit windows 11 operating system,15.6,4.5,90.0,18.0,asus,amd,1,1,16,ssd,1000.0
58900,64 bit windows 10 operating system,15.6,4.1,45.0,10.0,lenovo,intel,11,11,8,ssd,512.0
210990,64 bit windows 10 operating system,16.0,4.7,3.0,0.0,msi,intel,11,11,16,ssd,1000.0
65990,64 bit windows 11 operating system,15.6,4.0,4.0,1.0,lenovo,amd,1,1,16,ssd,512.0
150490,64 bit windows 10 operating system,15.6,4.7,21.0,5.0,acer,intel,10,10,16,ssd,2000.0
42490,64 bit windows 11 operating system,14.0,4.2,50.0,4.0,dell,intel,10,10,4,hdd ssd,1000.0
18990,64 bit chrome operating system,11.6,3.6,387.0,51.0,asus,intel,1,1,4,ssd,512.0
78190,64 bit windows 10 operating system,13.3,4.5,22.0,3.0,dell,intel,11,11,8,ssd,1000.0
329990,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,1000.0
119990,64 bit windows 11 operating system,15.6,4.4,57.0,7.0,acer,intel,11,11,16,ssd,1000.0
70430,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,11,11,8,ssd,512.0
69290,dos operating system,14.0,-1.0,-1.0,-1.0,asus,intel,10,10,8,hdd,1000.0
18990,64 bit windows 11 operating system,11.6,4.0,20.0,1.0,asus,intel,1,1,4,hdd,1000.0
39490,64 bit windows 11 operating system,15.6,4.0,5.0,0.0,hp,intel,11,11,8,ssd,256.0
64990,64 bit windows 11 operating system,15.6,4.3,302.0,36.0,acer,intel,12,12,8,ssd,512.0
84990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,lenovo,intel,12,12,16,ssd,512.0
163990,mac os operating system,13.3,4.2,107.0,13.0,apple,intel,8,8,8,ssd,512.0
41999,64 bit windows 11 operating system,14.0,4.5,24.0,6.0,acer,intel,1,1,4,ssd,256.0
55990,64 bit windows 10 operating system,15.6,4.4,61.0,7.0,acer,amd,1,1,8,ssd,512.0
54890,64 bit windows 10 operating system,15.6,-1.0,-1.0,-1.0,hp,intel,10,10,8,hdd ssd,512.0
114990,windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,512.0
88890,64 bit windows 11 operating system,14.0,4.5,14.0,2.0,dell,amd,1,1,16,ssd,512.0
54990,windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,amd,10,10,16,ssd,512.0
40690,64 bit windows 10 operating system,14.0,4.1,9.0,1.0,dell,intel,11,11,8,ssd,256.0
24290,64 bit windows 11 operating system,11.6,4.1,197.0,18.0,asus,intel,1,1,4,ssd,128.0
111500,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,16,ssd,512.0
74990,windows 11 operating system,15.6,4.0,4.0,0.0,asus,intel,12,12,16,ssd,512.0
54990,windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,amd,10,10,16,ssd,512.0
209990,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,intel,12,12,32,ssd,1000.0
158990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,amd,1,1,16,ssd,1000.0
37890,windows 10 operating system,14.0,5.0,4.0,0.0,lenovo,intel,10,10,8,ssd,256.0
92990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,512.0
233990,64 bit windows 10 operating system,14.0,-1.0,-1.0,-1.0,asus,intel,10,10,16,ssd,2000.0
127490,64 bit windows 11 operating system,15.6,3.8,12.0,6.0,dell,intel,12,12,16,ssd,512.0
193990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,gigabyte,intel,12,12,16,ssd,1000.0
129999,64 bit windows 10 operating system,15.6,4.5,3221.0,691.0,acer,intel,7,7,8,hdd ssd,1000.0
78061,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,amd,1,1,8,ssd,512.0
98246,64 bit windows 10 operating system,14.0,-1.0,-1.0,-1.0,lenovo,amd,5,5,16,ssd,512.0
157990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
185790,64 bit windows 10 operating system,15.6,4.8,5.0,1.0,msi,intel,8,8,16,ssd,512.0
41290,64 bit windows 10 operating system,14.96,4.2,534.0,59.0,dell,intel,11,11,8,ssd,256.0
38690,64 bit windows 11 operating system,15.6,4.7,6.0,0.0,dell,amd,1,1,8,ssd,256.0
71990,windows 10 operating system,15.6,4.4,395.0,43.0,lenovo,intel,11,11,8,ssd,512.0
72490,64 bit windows 11 operating system,15.6,4.3,29.0,6.0,lenovo,intel,10,10,8,ssd,512.0
61999,64 bit windows 11 operating system,15.6,3.7,3.0,0.0,acer,intel,12,12,8,ssd,512.0
105990,windows 10 operating system,15.6,4.4,87.0,12.0,asus,amd,1,1,16,ssd,512.0
206990,64 bit windows 10 operating system,15.6,-1.0,-1.0,-1.0,msi,intel,11,11,16,ssd,1000.0
119990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,msi,intel,12,12,16,ssd,1000.0
239990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,intel,12,12,32,ssd,1000.0
62990,64 bit windows 11 operating system,15.6,4.3,43.0,7.0,lenovo,amd,1,1,8,ssd,512.0
189990,windows 11 operating system,16.0,-1.0,-1.0,-1.0,lenovo,amd,1,1,32,ssd,1000.0
42690,64 bit windows 10 operating system,15.6,4.0,318.0,28.0,dell,amd,1,1,8,ssd,256.0
73990,64 bit windows 10 operating system,15.6,4.5,256.0,45.0,msi,intel,11,11,16,ssd,512.0
82990,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,8,ssd,512.0
59990,windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,8,ssd,512.0
115990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
214990,64 bit windows 10 operating system,15.6,-1.0,-1.0,-1.0,msi,intel,10,10,32,ssd,1000.0
93900,64 bit windows 10 operating system,15.6,4.4,5.0,1.0,dell,amd,1,1,16,ssd,512.0
58499,64 bit windows 10 operating system,15.6,4.5,4351.0,596.0,msi,intel,9,9,8,ssd,512.0
50983,64 bit windows 11 operating system,15.6,4.8,10.0,0.0,hp,amd,1,1,16,ssd,512.0
219990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,1000.0
47090,64 bit windows 10 operating system,14.0,4.4,17.0,2.0,dell,amd,1,1,8,ssd,512.0
66990,64 bit windows 10 operating system,13.3,4.3,40.0,4.0,asus,intel,8,8,8,ssd,512.0
40200,64 bit windows 10 operating system,15.6,3.9,50.0,1.0,lenovo,intel,10,10,4,ssd,256.0
47990,windows 11 operating system,14.0,4.3,39.0,9.0,asus,intel,12,12,8,ssd,512.0
59990,64 bit windows 10 operating system,15.6,5.0,3.0,0.0,acer,amd,1,1,8,ssd,512.0
77070,windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,512.0
51890,64 bit windows 11 operating system,15.6,4.2,283.0,17.0,hp,intel,11,11,8,ssd,512.0
61249,64 bit windows 10 operating system,14.0,-1.0,-1.0,-1.0,asus,intel,10,10,4,hdd,1000.0
35500,64 bit windows 11 operating system,15.6,4.1,123.0,18.0,dell,intel,1,1,4,ssd,256.0
107690,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,16,ssd,512.0
131990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,lenovo,amd,1,1,16,ssd,1000.0
28490,windows 11 operating system,14.0,4.4,17.0,3.0,hp,amd,1,1,8,ssd,512.0
64990,64 bit windows 11 operating system,15.6,4.0,123.0,15.0,hp,intel,12,12,8,ssd,512.0
146490,64 bit windows 10 operating system,15.6,3.0,2.0,1.0,asus,intel,7,7,8,hdd ssd,1000.0
60090,windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,12,12,8,ssd,512.0
34990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,lenovo,amd,1,1,8,hdd ssd,256.0
40699,windows 11 operating system,15.6,4.1,29.0,2.0,lenovo,intel,11,11,8,ssd,512.0
71999,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,intel,10,10,8,ssd,1000.0
69990,64 bit windows 11 operating system,14.0,4.8,5.0,0.0,acer,intel,11,11,8,ssd,512.0
62990,windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,intel,11,11,8,ssd,512.0
63090,64 bit windows 10 operating system,35.0,3.9,89.0,9.0,dell,intel,11,11,8,ssd,512.0
107990,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,16,ssd,1000.0
48999,windows 10 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,10,10,4,hdd ssd,1000.0
57890,64 bit windows 10 operating system,15.6,3.9,117.0,15.0,lenovo,intel,11,11,8,ssd,512.0
88490,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,dell,intel,12,12,16,ssd,512.0
99850,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,16,ssd,512.0
40890,64 bit windows 10 operating system,15.6,4.0,53.0,4.0,dell,intel,11,11,8,ssd,256.0
40690,64 bit windows 11 operating system,15.6,4.0,212.0,30.0,dell,intel,10,10,8,ssd,512.0
170990,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,1000.0
71857,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,11,11,8,ssd,512.0
154990,64 bit windows 10 operating system,14.0,5.0,3.0,0.0,asus,intel,10,10,16,ssd,1000.0
100500,64 bit windows 10 operating system,15.6,-1.0,-1.0,-1.0,acer,intel,8,8,8,ssd,512.0
94075,windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,12,12,8,hdd ssd,1000.0
249900,mac os operating system,16.0,-1.0,-1.0,-1.0,apple,apple,2,2,16,ssd,512.0
79990,64 bit windows 10 operating system,13.3,4.4,11.0,3.0,asus,intel,10,10,8,ssd,512.0
115999,windows 11 operating system,14.0,-1.0,-1.0,-1.0,acer,intel,12,12,16,ssd,1000.0
27990,64 bit windows 11 operating system,15.6,4.2,100.0,14.0,acer,amd,1,1,4,ssd,512.0
98990,windows 11 operating system,16.6,4.5,6.0,1.0,asus,amd,10,10,16,ssd,512.0
42990,64 bit windows 11 operating system,15.6,4.3,47.0,11.0,infinix,intel,11,11,8,ssd,512.0
44190,64 bit windows 11 operating system,14.96,4.3,56.0,5.0,dell,intel,10,10,8,ssd,256.0
79990,64 bit windows 11 operating system,14.0,5.0,3.0,0.0,asus,intel,11,11,16,ssd,512.0
96990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
42990,64 bit windows 10 operating system,14.0,4.1,105.0,10.0,dell,intel,10,10,8,ssd,512.0
234990,64 bit windows 10 operating system,15.6,-1.0,-1.0,-1.0,asus,intel,10,10,32,ssd,1000.0
85990,windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,16,ssd,512.0
22990,chrome operating system,15.6,4.0,926.0,150.0,asus,intel,1,1,4,ssd,512.0
107331,windows 11 operating system,14.0,4.6,43.0,9.0,asus,intel,12,12,16,ssd,512.0
38990,64 bit windows 10 operating system,15.0,4.3,164.0,14.0,lenovo,intel,11,11,4,ssd,256.0
37990,64 bit windows 11 operating system,15.6,4.3,3881.0,400.0,hp,amd,1,1,8,ssd,512.0
150990,windows 11 operating system,15.6,4.9,8.0,2.0,asus,amd,1,1,16,ssd,1000.0
76990,64 bit windows 10 operating system,15.6,4.4,145.0,21.0,lenovo,amd,1,1,8,ssd,512.0
79000,64 bit windows 11 operating system,13.3,4.5,13.0,0.0,hp,amd,1,1,16,ssd,512.0
84198,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,8,ssd,512.0
42990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,hp,amd,1,1,8,ssd,512.0
177900,64 bit windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,amd,1,1,32,ssd,1000.0
62490,64 bit windows 10 operating system,15.6,4.5,1763.0,254.0,lenovo,amd,1,1,8,hdd ssd,1000.0
79990,64 bit windows 11 operating system,14.0,3.9,12.0,1.0,asus,intel,12,12,16,ssd,512.0
151990,windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
30990,64 bit windows 11 operating system,15.6,4.2,126.0,23.0,infinix,intel,11,11,8,ssd,256.0
147990,64 bit windows 11 operating system,13.4,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
37490,64 bit windows 11 operating system,15.6,4.3,818.0,95.0,lenovo,intel,11,11,8,ssd,256.0
118990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,lenovo,intel,12,12,16,ssd,512.0
39990,64 bit windows 11 operating system,14.0,4.3,2959.0,316.0,hp,intel,11,11,8,ssd,256.0
234990,64 bit windows 10 operating system,13.4,-1.0,-1.0,-1.0,asus,amd,1,1,32,ssd,1000.0
171990,windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
94990,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,acer,intel,11,11,16,ssd,512.0
66990,64 bit windows 10 operating system,15.6,4.4,2511.0,240.0,hp,amd,1,1,8,ssd,512.0
40788,64 bit windows 11 operating system,15.6,4.1,145.0,9.0,hp,intel,11,11,8,hdd ssd,1000.0
42500,windows 11 operating system,15.6,4.3,7.0,0.0,dell,intel,11,11,8,hdd,1000.0
60990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,8,ssd,1000.0
58990,64 bit windows 11 operating system,15.6,4.4,502.0,47.0,asus,intel,10,10,8,ssd,512.0
119990,64 bit windows 10 operating system,15.6,4.5,2052.0,318.0,acer,intel,10,10,16,hdd ssd,1000.0
105990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,lenovo,intel,11,11,16,ssd,512.0
184990,windows 11 operating system,17.3,-1.0,-1.0,-1.0,msi,intel,13,13,16,ssd,1000.0
192990,windows 11 operating system,16.0,-1.0,-1.0,-1.0,lenovo,intel,11,11,32,ssd,1000.0
38999,64 bit windows 11 operating system,15.6,4.3,3881.0,400.0,hp,amd,1,1,8,ssd,256.0
135990,64 bit windows 10 operating system,15.6,4.3,58.0,9.0,acer,intel,11,11,16,ssd,1000.0
68490,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,11,11,8,hdd ssd,1000.0
88390,64 bit windows 10 operating system,14.0,4.5,571.0,73.0,hp,intel,11,11,16,ssd,1000.0
113104,64 bit windows 11 operating system,13.3,3.7,3.0,2.0,dell,intel,12,12,16,ssd,512.0
114990,64 bit windows 11 operating system,13.4,5.0,3.0,0.0,asus,amd,1,1,16,ssd,1000.0
56000,64 bit windows 10 operating system,15.6,4.4,12223.0,1239.0,hp,amd,1,1,8,ssd,512.0
149990,windows 11 operating system,16.0,-1.0,-1.0,-1.0,lenovo,intel,12,12,8,ssd,1000.0
116640,64 bit windows 10 operating system,15.6,-1.0,-1.0,-1.0,acer,intel,6,6,16,hdd ssd,1000.0
102551,64 bit windows 10 operating system,15.6,-1.0,-1.0,-1.0,hp,intel,7,7,8,hdd ssd,1000.0
16990,64 bit windows 11 operating system,14.1,3.8,689.0,92.0,avita,intel,1,1,4,ssd,128.0
44900,64 bit windows 10 operating system,14.0,4.5,872.0,177.0,hp,amd,1,1,8,ssd,512.0
98990,64 bit windows 11 operating system,16.1,4.9,11.0,0.0,hp,amd,1,1,16,ssd,512.0
